region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,class
14,15350,2017,27,571,5,3,2,40000,5,3,1,4,5,2.0
14,8300,2011,10,2139,4,5,2,109050,5,3,2,12,8,3.0
14,23900,2013,3,3236,4,6,2,101770,5,2,3,8,5,3.0
14,2000,1998,11,2852,2,6,2,214048,5,3,3,8,10,2.0
14,18995,2008,10,1487,4,6,0,170909,5,3,3,7,10,3.0
14,18495,2007,6,2707,4,6,0,148411,5,3,3,7,2,1.0
14,10295,2015,7,77,4,3,2,65731,5,3,1,4,10,1.0
14,18995,2017,0,1802,4,3,2,39238,5,3,1,4,10,3.0
14,25795,2011,11,2649,4,6,0,190330,5,3,3,7,10,2.0
14,24495,2016,13,2301,4,5,2,75186,5,3,3,8,1,3.0
14,10795,2008,33,1813,4,3,2,119433,5,2,3,3,10,1.0
14,18795,2016,8,812,4,5,2,47639,5,3,2,1,0,2.0
14,15000,2008,10,2867,3,6,0,140500,5,3,2,10,10,3.0
14,12795,2015,13,975,4,3,2,51197,2,3,3,8,0,3.0
14,26795,2016,3,3222,4,5,2,83459,5,3,3,8,3,2.0
14,22795,2018,8,825,4,5,2,38446,5,3,2,4,5,3.0
14,17495,2015,5,612,4,3,2,48201,5,3,2,4,10,2.0
14,5000,2010,13,974,4,3,2,173000,5,3,1,8,5,2.0
14,3000,2005,36,3114,3,4,2,101770,5,3,1,8,1,2.0
14,4895,2010,35,1856,4,4,2,127863,5,3,1,4,10,1.0
14,8495,1997,3,3315,4,3,2,79420,5,2,2,13,0,1.0
14,9795,2009,3,1,4,5,2,71843,5,3,2,1,10,2.0
14,21795,2016,3,143,4,3,2,41859,5,3,2,4,10,1.0
14,20795,2016,0,2987,4,5,2,42866,5,3,1,4,5,3.0
14,11700,2014,22,1057,4,5,2,37665,5,3,3,8,10,2.0
14,7750,2005,11,3307,4,6,2,200960,5,3,3,8,10,2.0
14,9500,1997,17,3164,4,3,2,34500,5,2,3,8,10,2.0
14,9995,2012,13,861,5,3,4,8257,5,3,1,4,10,2.0
14,4895,2005,10,1614,3,5,2,66011,5,3,1,6,8,2.0
